ConservationActions.ConservationActionsSubfield.ConservationActionsLookup,ConservationActions.ConservationActionsSubfield.ConservationActionsName,ConservationActions.ConservationActionsSubfield.note,assessment_id,internal_taxon_id,internal_taxon_name
1.1,,,207983513,88416883,Pelophylax lessonae
1.2,,,207983513,88416883,Pelophylax lessonae
2.2,,,207983513,88416883,Pelophylax lessonae
1.1,,,227223836,114139495,Pelodytes atlanticus
1.2,,,227223836,114139495,Pelodytes atlanticus
2.2,,,227223836,114139495,Pelodytes atlanticus
2.2,,,227226945,58692,Pelophylax perezi
1.1,,,227229041,18377,Proteus anguinus
5.1.1,,,227229041,18377,Proteus anguinus
5.2,,,227229041,18377,Proteus anguinus
2.1,,,227229041,18377,Proteus anguinus
1.1,,,227229860,58622,Rana iberica
1.2,,,227229860,58622,Rana iberica
2.1,,,227229860,58622,Rana iberica
2.1,,,227232074,19156,Rana latastei
1.1,,,227232549,173103952,Rana parvipalmata
1.2,,,227232549,173103952,Rana parvipalmata
1.1,,,227233345,19183,Rana pyrenaica
1.2,,,227233345,19183,Rana pyrenaica
2.1,,,227233345,19183,Rana pyrenaica
2.2,,,227233345,19183,Rana pyrenaica
1.1,,,227233771,19843,Salamandra atra
5.1.1,,,227233771,19843,Salamandra atra
5.2,,,227233771,19843,Salamandra atra
2.2,,,227233771,19843,Salamandra atra
5.1.1,,,227237457,22216,Triturus dobrogicus
5.2,,,227237457,22216,Triturus dobrogicus
2.2,,,227237457,22216,Triturus dobrogicus
1.1,,,227237916,88104000,Triturus macedonicus
5.1.1,,,227237916,88104000,Triturus macedonicus
5.2,,,227237916,88104000,Triturus macedonicus
2.2,,,227237916,88104000,Triturus macedonicus
5.1.1,,,227238403,59479,Triturus pygmaeus
5.2,,,227238403,59479,Triturus pygmaeus
2.2,,,227238403,59479,Triturus pygmaeus
1.1,,,228179002,178592041,Alytes almogavarii
1.2,,,228179002,178592041,Alytes almogavarii
3.3.1,,,228179967,77970289,Bombina variegata
1.1,,,228180876,172962880,Bufotes cypriensis
1.2,,,228180876,172962880,Bufotes cypriensis
1.1,,,228181133,4657,Chioglossa lusitanica
5.1.1,,,228181133,4657,Chioglossa lusitanica
1.2,,,228181133,4657,Chioglossa lusitanica
5.2,,,228181133,4657,Chioglossa lusitanica
2.2,,,228181133,4657,Chioglossa lusitanica
1.1,,,228181470,54598,Epidalea calamita
1.2,,,228181470,54598,Epidalea calamita
2.1,,,228181470,54598,Epidalea calamita
1.1,,,228183943,59472,Ichthyosaura alpestris
5.1.1,,,228183943,59472,Ichthyosaura alpestris
1.2,,,228183943,59472,Ichthyosaura alpestris
5.2,,,228183943,59472,Ichthyosaura alpestris
2.1,,,228183943,59472,Ichthyosaura alpestris
2.2,,,228183943,59472,Ichthyosaura alpestris
3.2,,,228184459,79079411,Lissotriton boscai
5.1.1,,,228184459,79079411,Lissotriton boscai
5.2,,,228184459,79079411,Lissotriton boscai
2.1,,,228184459,79079411,Lissotriton boscai
2.2,,,228184459,79079411,Lissotriton boscai
5.2,,,228184805,79077482,Lissotriton graecus
5.1.1,,,228185921,59478,Lissotriton montandoni
5.2,,,228185921,59478,Lissotriton montandoni
2.2,,,228185921,59478,Lissotriton montandoni
1.1,,,228186498,172312067,Pelobates balcanicus
4.3,,,228186498,172312067,Pelobates balcanicus
1.2,,,228186498,172312067,Pelobates balcanicus
2.3,,,228186498,172312067,Pelobates balcanicus
1.1,,,228187495,58052,Pelobates cultripes
1.2,,,228187495,58052,Pelobates cultripes
2.1,,,228187495,58052,Pelobates cultripes
2.1,,,228187875,196236126,Pelobates fuscus
2.3,,,228187875,196236126,Pelobates fuscus
1.2,,,229001009,55517,Hyla intermedia
2.2,,,229001009,55517,Hyla intermedia
2.1,,,229005415,58605,Rana graeca
5.1.1,,,229005750,59448,Calotriton asper
5.2,,,229005750,59448,Calotriton asper
2.2,,,229005750,59448,Calotriton asper
5.1.1,,,229006372,79078647,Lissotriton vulgaris
5.2,,,229006372,79078647,Lissotriton vulgaris
2.2,,,229006372,79078647,Lissotriton vulgaris
2.1,,,89696462,136131,Calotriton arnoldi
3.4.1,,,89696462,136131,Calotriton arnoldi
5.2,,,89696462,136131,Calotriton arnoldi
5.4.1,,,89696462,136131,Calotriton arnoldi
2.2,,,89696462,136131,Calotriton arnoldi
5.1.1,,,89696462,136131,Calotriton arnoldi
2.1,,,89699123,19845,Salamandra lanzai
5.2,,,89699123,19845,Salamandra lanzai
5.4.1,,,89699123,19845,Salamandra lanzai
2.2,,,89699123,19845,Salamandra lanzai
5.1.1,,,89699123,19845,Salamandra lanzai
5.1.1,,,89706481,136135,Salamandrina perspicillata
5.2,,,89706481,136135,Salamandrina perspicillata
2.2,,,89706481,136135,Salamandrina perspicillata
1.2,,,218083218,173111497,Pelodytes punctatus
2.1,,,218083218,173111497,Pelodytes punctatus
2.3,,,218083218,173111497,Pelodytes punctatus
5.1.1,,,219148292,59467,Salamandra salamandra
5.2,,,219148292,59467,Salamandra salamandra
2.2,,,219148292,59467,Salamandra salamandra
5.4.1,,,219148292,59467,Salamandra salamandra
5.1.1,,,219150517,59477,Triturus marmoratus
5.2,,,219150517,59477,Triturus marmoratus
2.2,,,219150517,59477,Triturus marmoratus
5.1.1,,,264468745,214696589,Triturus carnifex
5.2,,,264468745,214696589,Triturus carnifex
2.2,,,264468745,214696589,Triturus carnifex
1.1,,,265122877,59405,Speleomantes strinatii
5.1.1,,,265122877,59405,Speleomantes strinatii
5.2,,,265122877,59405,Speleomantes strinatii
5.4.1,,,265122877,59405,Speleomantes strinatii
2.1,,,265122877,59405,Speleomantes strinatii
2.2,,,265122877,59405,Speleomantes strinatii
1.1,,,265124975,20458,Speleomantes italicus
5.1.1,,,265124975,20458,Speleomantes italicus
5.2,,,265124975,20458,Speleomantes italicus
5.4.1,,,265124975,20458,Speleomantes italicus
2.1,,,265124975,20458,Speleomantes italicus
2.2,,,265124975,20458,Speleomantes italicus
1.1,,,265126221,20454,Speleomantes ambrosii
5.1.1,,,265126221,20454,Speleomantes ambrosii
5.2,,,265126221,20454,Speleomantes ambrosii
2.1,,,265126221,20454,Speleomantes ambrosii
2.2,,,265126221,20454,Speleomantes ambrosii
2.3,,,265126221,20454,Speleomantes ambrosii
