infraType,infrarankAuthor,infrarankName,internal_taxon_id,internal_taxon_name,name,speciesAuthor,speciesName
,,,18377,Proteus anguinus,"Siren anguina (Shaw,1802)","(Shaw,1802)",anguina
,,,22216,Triturus dobrogicus,"Petraponia nigra Massalongo, 1854","Massalongo, 1854",nigra
variety,"Kiritzescu, 1903",dobrogicus,22216,Triturus dobrogicus,"Triton cristatus var. dobrogicus Kiritzescu, 1903",,cristatus
,,,22216,Triturus dobrogicus,"Molge macrosoma Boulenger, 1908","Boulenger, 1908",macrosoma
,,,54598,Epidalea calamita,"Bufo calamita Laurenti, 1768","Laurenti, 1768",calamita
,,,55517,Hyla intermedia,"Hyla perrini Dufresnes, Mazepa, Rodrigues, Brelsford, Litvinchuk, Sermier, Lavanchy, Betto-Colliard, Blaser, Borzée, Cavoto, Fabre, Ghali, Grossen, Horn, Leuenberger, Phillips, Saunders, Savary, Maddalena, Stöck, Dubey, Canestrelli &amp; Jeffries, 2018","Dufresnes, Mazepa, Rodrigues, Brelsford, Litvinchuk, Sermier, Lavanchy, Betto-Colliard, Blaser, Borzée, Cavoto, Fabre, Ghali, Grossen, Horn, Leuenberger, Phillips, Saunders, Savary, Maddalena, Stöck, Dubey, Canestrelli &amp; Jeffries, 2018",perrini
,,,55517,Hyla intermedia,"Hyla italica Nascetii, Lanza & Bullini, 1995","Nascetii, Lanza & Bullini, 1995",italica
,,,58052,Pelobates cultripes,"Rana cultripes Cuvier, 1829","Cuvier, 1829",cultripes
,,,58605,Rana graeca,"Rana graeca Boulenger, 1891","Boulenger, 1891",graeca
,,,58637,Pelophylax kurtmuelleri,"Rana kurtmuelleri Gayda, 1940","Gayda, 1940",kurtmuelleri
,,,58637,Pelophylax kurtmuelleri,"Rana balcanica Schneider, Sinsch & Sofianidou, 1992","Schneider, Sinsch & Sofianidou, 1992",balcanica
,,,58692,Pelophylax perezi,"Rana perezi López-Seoane, 1885","López-Seoane, 1885",perezi
,,,58692,Pelophylax perezi,"Rana calcarata Tschudi, 1838","Tschudi, 1838",calcarata
,,,59448,Calotriton asper,"Euproctus asper (Dugès, 1852)","(Dugès, 1852)",asper
,,,59448,Calotriton asper,"Triton  repandus  Dugès, 1852","Dugès, 1852",repandus 
,,,59448,Calotriton asper,"Hemitriton  cinereus  Dugès, 1852","Dugès, 1852",cinereus 
,,,59448,Calotriton asper,"Hemitriton  rugosus  Dugès, 1852","Dugès, 1852",rugosus 
,,,59448,Calotriton asper,"Hemitriton  punctulatus  Dugès, 1852","Dugès, 1852",punctulatus 
,,,59448,Calotriton asper,"Hemitriton  bibronii  Dugès, 1852"," Dugès, 1852",bibronii
,,,59448,Calotriton asper,"Triton  pyrenaeus  Duméril, Bibron & Duméril, 1854","Duméril, Bibron & Duméril, 1854",pyrenaeus 
,,,59448,Calotriton asper,"Triton  rugosus (Dugès, 1852)","(Dugès, 1852)",rugosus
,,,59448,Calotriton asper,"Triton  cinereus (Dugès, 1852)","(Dugès, 1852)",cinereus
,,,59448,Calotriton asper,"Triton  bibroni (Dugès, 1852)","(Dugès, 1852)",bibroni
,,,59448,Calotriton asper,"Calotriton  punctulatus (Dugès, 1852)","(Dugès, 1852)",punctulatus
,,,59448,Calotriton asper,"Euproctus  pyrenaeus (Duméril, Bibron  & Duméril, 1854)","(Duméril, Bibron  & Duméril, 1854)",pyrenaeus
,,,59448,Calotriton asper,"Molge  aspera (Dugès, 1852)","(Dugès, 1852)",aspera
,,,59448,Calotriton asper,"Triton  asper (Dugès, 1852)","(Dugès, 1852)",asper
,,,59448,Calotriton asper,"Diemictylus  asper (Dugès, 1852)","(Dugès, 1852)",asper
,,,59448,Calotriton asper,"Molge  bolivari  Boscá, 1918"," Boscá, 1918",bolivari
,,,59448,Calotriton asper,"Hemitriton  asper  Dugès, 1852","Dugès, 1852",asper 
,,,59472,Ichthyosaura alpestris,"Triton alpestris Laurenti, 1768","Laurenti, 1768",alpestris
,,,59472,Ichthyosaura alpestris,"Triturus alpestris (Laurenti, 1768)","(Laurenti, 1768)",alpestris
,,,59472,Ichthyosaura alpestris,"Mesotriton alpestris (Laurenti, 1768)","(Laurenti, 1768)",alpestris
,,,59475,Lissotriton helveticus,"Triturus helveticus (Razoumowsky, 1789)","(Razoumowsky, 1789)",helveticus
,,,59475,Lissotriton helveticus,"Lacerta helvetica Razoumovsky, 1789","Razoumovsky, 1789",helvetica
,,,59478,Lissotriton montandoni,"Triturus montandoni (Boulenger, 1880)","(Boulenger, 1880)",montandoni
,,,59478,Lissotriton montandoni,"Triton montandoni Boulenger, 1880","Boulenger, 1880",montandoni
forma,"Wolterstorff, 1905",pygmaea,59479,Triturus pygmaeus,"Triton marmoratus fma. pygmaea Wolterstorff, 1905",,marmoratus
,,,153567,Bufotes balearicus,"Pseudepidalea balearica (Boettger, 1880)","(Boettger, 1880)",balearica
variety,"Boettger, 1880",balaerica,153567,Bufotes balearicus,"Bufo variabilis var. balaerica Boettger, 1880",,variabilis
,,,77970289,Bombina variegata,"Rana variegata Linnaeus, 1758","Linnaeus, 1758",variegata
,,,77970289,Bombina variegata,"Bombinator pachypus Bonaparte, 1838","Bonaparte, 1838",pachypus
,,,77970289,Bombina variegata,"Bombina pachypus (Bonaparte, 1838)","(Bonaparte, 1838)",pachypus
subspecies,"Wolterstorff, 1906",graeca,79077482,Lissotriton graecus,"Triton vulgaris ssp. graeca Wolterstorff, 1906",,vulgaris
,,,79078647,Lissotriton vulgaris,"Lacerta vulgaris Linnaeus, 1758","Linnaeus, 1758",vulgaris
,,,79078647,Lissotriton vulgaris,"Lacerta palustris Linnaeus, 1758","Linnaeus, 1758",palustris
,,,79078647,Lissotriton vulgaris,"Salamandra taeniata Schneider, 1799","Schneider, 1799",taeniata
,,,79078647,Lissotriton vulgaris,"Lacerta aquatica Linnaeus, 1758","Linnaeus, 1758",aquatica
,,,79078647,Lissotriton vulgaris,"Molge vulgaris Boulenger, 1882","Boulenger, 1882",vulgaris
,,,79078647,Lissotriton vulgaris,"Salamanda lacepedii Andrzejowski, 1832","Andrzejowski, 1832",lacepedii
,,,79078647,Lissotriton vulgaris,"Triton punctata Eichwald, 1837","Eichwald, 1837",punctata
,,,79079411,Lissotriton boscai,"Pelonectes boscai Lataste In Tourneville, 1879","Lataste In Tourneville, 1879",boscai
,,,82496838,Hyla arborea,"Rana arborea Linnaeus, 1758","Linnaeus, 1758",arborea
variety,"Karaman, 1922",macedonica,88104000,Triturus macedonicus,"Molge karelinii var. macedonica Karaman, 1922",,karelinii
subspecies,"Litvinchuk, Borkin, Dzukic, Kalezic, 1999",arntzeni,88104000,Triturus macedonicus,"Triturus karelinii ssp. arntzeni Litvinchuk, Borkin, Dzukic, Kalezic, 1999",,karelinii
,,,88416883,Pelophylax lessonae,"Pelophylax hispanicus (Bonaparte, 1839)","(Bonaparte, 1839)",hispanicus
,,,88416883,Pelophylax lessonae,"Pelophylax esculentus (Linnaeus, 1758)","(Linnaeus, 1758)",esculentus
,,,88416883,Pelophylax lessonae,"Pelophylax bergeri (Günther in Engelmann, Fritzsche, Günther &amp; Obst, 1986)","(Günther in Engelmann, Fritzsche, Günther &amp; Obst, 1986)",bergeri
variety,"Camerano, 1882",lessonae,88416883,Pelophylax lessonae,"Rana esculenta var. lessonae Camerano, 1882",,esculenta
,,,88416883,Pelophylax lessonae,"Rana meridionalis (Lataste, 1876)","(Lataste, 1876)",meridionalis 
,,,88416883,Pelophylax lessonae,"Rana esculenta acutirostris (Lessona, 1877)","(Lessona, 1877)",esculenta acutirostris
,,,88416883,Pelophylax lessonae,"Rana esculenta obtusirostris (Lessona, 1877)","(Lessona, 1877)",esculenta obtusirostris 
,,,88416883,Pelophylax lessonae,"Rana esculenta var. lessonae (Camerano, 1882)","(Camerano, 1882)",esculenta var. lessonae 
,,,88416883,Pelophylax lessonae,"Rana esculenta lessonae var. immaculata (Camerano, 1884)","(Camerano, 1884)",esculenta lessonae var. immaculata
,,,88416883,Pelophylax lessonae,"Rana esculenta lessonae var. maculata (Camerano, 1884)","(Camerano, 1884)",esculenta lessonae var. maculata 
,,,88416883,Pelophylax lessonae,"Rana esculenta var. bolkayi (Fejérváry, 1909)","(Fejérváry, 1909)",esculenta var. bolkayi 
,,,88416883,Pelophylax lessonae,"Rana lessonae pannonica (Karaman, 1948)","(Karaman, 1948)",lessonae pannonica 
subspecies,"Karaman, 1928",balcanicus,172312067,Pelobates balcanicus,"Pelobates syriacus ssp. balcanicus Karaman, 1928",,syriacus
subspecies,"López-Seoane, 1885",parvipalmata,173103952,Rana parvipalmata,"Rana temporaria ssp. parvipalmata López-Seoane, 1885",,temporaria
,,,173115779,Discoglossus galganoi,"Discoglossus jeanneae Busack, 1986","Busack, 1986",jeanneae
,,,178591974,Alytes obstetricans,"Bufo obstetricans Laurenti, 1768","Laurenti, 1768",obstetricans
subspecies,"Arntzen & García-París, 1995",almogavarii,178592041,Alytes almogavarii,"Alytes obstetricans ssp. almogavarii Arntzen & García-París, 1995",,obstetricans
,,,196236126,Pelobates fuscus,"Bufo fuscus Laurenti, 1768","Laurenti, 1768",fuscus
,,,196236126,Pelobates fuscus,"Pelobates insubricus Cornalia, 1873","Cornalia, 1873",insubricus
subspecies,"Cornalia, 1873",insubricus,196236126,Pelobates fuscus,"Pelobates fuscus ssp. insubricus Cornalia, 1873",,fuscus
subspecies,"Lanza, 1955",ambrosii,20454,Speleomantes ambrosii,"Hydromantes italicus ssp. ambrosii Lanza, 1955",,italicus
,,,20458,Speleomantes italicus,"Hydromantes italicus Dunn, 1923","Dunn, 1923",italicus
subspecies,"Aellen, 1958",strinatii,59405,Speleomantes strinatii,"Hydromantes italicus ssp. strinatii Aellen, 1958",,italicus
,,,59467,Salamandra salamandra,"Lacerta salamandra Linnaeus, 1758","Linnaeus, 1758",salamandra
,,,59467,Salamandra salamandra,"Salamandra terrestris Bonnaterre, 1789","Bonnaterre, 1789",terrestris
,,,59467,Salamandra salamandra,"Salamandra longirostris Joger & Steinfartz, 1994","Joger & Steinfartz, 1994",longirostris
subspecies,"Laurenti, 1768",candida,59467,Salamandra salamandra,"Salamandra candida ssp. candida Laurenti, 1768",,candida
,,,59467,Salamandra salamandra,"Salamandra maculosa Laurenti, 1768","Laurenti, 1768",maculosa
,,,59477,Triturus marmoratus,"Salamandra marmorata Latreille, 1800","Latreille, 1800",marmorata
,,,59477,Triturus marmoratus,"Triton gesneri Laurenti, 1768 [<i>nomen dubium</i>]","Laurenti, 1768 [<i>nomen dubium</i>]",gesneri
,,,136135,Salamandrina perspicillata,"Salamandra perspicillata Savi, 1821","Savi, 1821",perspicillata
,,,173111497,Pelodytes punctatus,"Rana punctata Daudin, 1802","Daudin, 1802",punctata
,,,173111497,Pelodytes punctatus,"Pelodytes hespericus Díaz-Rodríguez, Gehara, Márquez, Vences, Gonçalves, Sequeira, Martínez-Solano &amp; Tejedo, 2017","Díaz-Rodríguez, Gehara, Márquez, Vences, Gonçalves, Sequeira, Martínez-Solano &amp; Tejedo, 2017",hespericus
,,,214696589,Triturus carnifex,"Triton carnifex Laurenti, 1768","Laurenti, 1768",carnifex
