infraType,infrarankAuthor,infrarankName,internal_taxon_id,internal_taxon_name,name,speciesAuthor,speciesName
,,,2865,Bombina bombina,"Bufo igneus Laurenti, 1768","Laurenti, 1768",igneus
,,,2865,Bombina bombina,"Rana cruenta Pallas, 1814","Pallas, 1814",cruenta
,,,2865,Bombina bombina,"Rana bombina Linnaeus, 1761","Linnaeus, 1761",bombina
,,,2865,Bombina bombina,"Bufo pluvialis Daudin, 1802","Daudin, 1802",pluvialis
,,,22212,Triturus cristatus,"Triton cristatus Laurenti, 1768","Laurenti, 1768",cristatus
,,,22212,Triturus cristatus,"Molge cristata Boulenger, 1882","Boulenger, 1882",cristata
,,,22212,Triturus cristatus,"Triton cristatus Schreiber, 1912","Schreiber, 1912",cristatus
,,,41241,Lyciasalamandra luschani,"Molge luschani Steindachner, 1891","Steindachner, 1891",luschani
subspecies,"Baran & Atatür, 1980",basoglui,41241,Lyciasalamandra luschani,"Mertensiella luschani ssp. basoglui Baran & Atatür, 1980",,luschani
subspecies,"Başoğlu & Atatür, 1976",finikensis,41241,Lyciasalamandra luschani,"Mertensiella luschani ssp. finikensis Başoğlu & Atatür, 1976",,luschani
,,,41241,Lyciasalamandra luschani,"Mertensiella luschani (Steindachner, 1891)","(Steindachner, 1891)",luschani
subspecies,"(Steindachner, 1891)",luschani,41241,Lyciasalamandra luschani,"Mertensiella luschani ssp. luschani (Steindachner, 1891)",,luschani
,,,54703,Sclerophrys mauritanica,"Amietophrynus mauritanicus (Schlegel, 1841)","(Schlegel, 1841)",mauritanicus
,,,54703,Sclerophrys mauritanica,"Bufo mauritanicus Schlegel, 1841","Schlegel, 1841",mauritanicus
,,,55270,Discoglossus pictus,"Discoglossus algirus Lataste, 1870","Lataste, 1870",algirus
,,,58548,Rana arvalis,"Rana oxyrrhinus Steenstrup, 1847","Steenstrup, 1847",oxyrrhinus
,,,58548,Rana arvalis,"Rana terrestris Andrzejowski, 1832","Andrzejowski, 1832",terrestris
,,,58548,Rana arvalis,"Rana angustifrongs Thomas, 1855","Thomas, 1855",angustifrongs
,,,58548,Rana arvalis,"Rana oxyrhina Filippi, 1865","Filippi, 1865",oxyrhina
,,,58548,Rana arvalis,"Rana altaica Kashchenko, 1909","Kashchenko, 1909",altaica
subspecies,"Kashchenko, 1899",altaica,58548,Rana arvalis,"Rana arvalis ssp. altaica Kashchenko, 1899",,arvalis
subspecies,"Fejérváry, 1919",wolterstorffi,58548,Rana arvalis,"Rana arvalis ssp. wolterstorffi Fejérváry, 1919",,arvalis
variety,"Koch, 1872",striatus,58548,Rana arvalis,"Rana oxyrhinus var. striatus Koch, 1872",,oxyrhinus
,,,58565,Aquarana catesbeianus,"Rana catesbeiana Shaw, 1802","Shaw, 1802",catesbeiana
,,,58565,Aquarana catesbeianus,"Lithobates catesbeiana (Shaw, 1802) [orth. error]","(Shaw, 1802) [orth. error]",catesbeiana
,,,58565,Aquarana catesbeianus,"Lithobates catesbeianus (Shaw, 1802)","(Shaw, 1802)",catesbeianus
,,,58584,Rana dalmatina,"Rana agilis Thomas, 1855","Thomas, 1855",agilis
,,,58584,Rana dalmatina,"Rana gracilis  Fatio, 1862.","Fatio, 1862.",gracilis 
,,,58705,Pelophylax ridibundus,"Rana ridibunda Pallas, 1771","Pallas, 1771",ridibunda
,,,58705,Pelophylax ridibundus,"Rana fortis Boulenger, 1884","Boulenger, 1884",fortis
subspecies,"Doengink, 1857",viridis,58705,Pelophylax ridibundus,"Rana aquatica ssp. viridis Doengink, 1857",,aquatica
,,,58705,Pelophylax ridibundus,"Rana mangischlakensis Ahl, 1925","Ahl, 1925",mangischlakensis
variety,"Prazák, 1898",maxima,58705,Pelophylax ridibundus,"Rana esculenta var. maxima Prazák, 1898",,esculenta
,,,58705,Pelophylax ridibundus,"Rana florinskii Kastschenko & Šipaćev, 1914","Kastschenko & Šipaćev, 1914",florinskii
variety,"Boulenger in Hartert, 1913",saharica,58707,Pelophylax saharicus,"Rana esculenta var. saharica Boulenger in Hartert, 1913",,esculenta
,,,58707,Pelophylax saharicus,"Rana zavattarii Scortecci, 1936","Scortecci, 1936",zavattarii
subspecies,"Salvador and Peris, 1975",riodeoroi,58707,Pelophylax saharicus,"Rana ridibunda ssp. riodeoroi Salvador and Peris, 1975",,ridibunda
variety,"Camerano, 1882",latastei,58707,Pelophylax saharicus,"Rana esculenta var. latastei Camerano, 1882",,esculenta
,,,59463,Pleurodeles waltl,"Salamandra  pleurodeles  Schlegel, 1837","Schlegel, 1837",pleurodeles 
,,,59463,Pleurodeles waltl,"Triton  costatus  Wagler, 1830","Wagler, 1830",costatus 
,,,59463,Pleurodeles waltl,"Salamandra  major  Gray In Cuvier, 1831","Gray In Cuvier, 1831",major 
,,,59463,Pleurodeles waltl,"Pleurodeles  exasperatus  Duméril, Bibron & Duméril, 1854","Duméril, Bibron & Duméril, 1854",exasperatus 
,,,59463,Pleurodeles waltl,"Bradybates  ventricosus  Tschudi, 1838","Tschudi, 1838",ventricosus 
,,,59463,Pleurodeles waltl,"Salamandra  fenestrata  Gray In Cuvier, 1831","Gray In Cuvier, 1831",fenestrata 
variety,"Bedriaga, 1883",algira,59464,Salamandra algira,"Salamandra maculosa var. algira Bedriaga, 1883",,maculosa
variety,"Camerano, 1882",bedriagae,58893474,Pelophylax bedriagae,"Rana esculenta var. bedriagae Camerano, 1882",,esculenta
,,,58893474,Pelophylax bedriagae,"Rana levantina Schneider & Sinsch, 1992","Schneider & Sinsch, 1992",levantina
,,,58893474,Pelophylax bedriagae,"Hylarana bedriagae (Camerano, 1882)","(Camerano, 1882)",bedriagae
variety,"Bedriaga, 1890",orientalis ,82494309,Hyla orientalis,"Hyla arborea  var. orientalis  Bedriaga, 1890",,arborea 
,,,82494309,Hyla orientalis,"Hyla  arborea schelkownikowi  Chernov, 1926","Chernov, 1926",arborea schelkownikowi 
,,,82494309,Hyla orientalis,"Hyla  arborea gumilevskii  Litvinchuk, Borkin, Rosanov, and Skorinov, 2006.","Litvinchuk, Borkin, Rosanov, and Skorinov, 2006.",arborea gumilevskii 
subspecies,"Litvinchuk, Borkin, Džukić, Kalezić, Khalturin, and Rosanov, 1999",karelinii,88103927,Triturus ivanbureschi,"Triturus arntzeni  ssp. karelinii Litvinchuk, Borkin, Džukić, Kalezić, Khalturin, and Rosanov, 1999",,arntzeni 
,,,88103927,Triturus ivanbureschi,"Triturus arntzeni (Litvinchuk, Borkin, Džukić, Kalezić, Khalturin, and Rosanov, 1999)","(Litvinchuk, Borkin, Džukić, Kalezić, Khalturin, and Rosanov, 1999)",arntzeni
,,,88316072,Bufo bufo,"Rana bufo Linnaeus, 1758","Linnaeus, 1758",bufo
,,,88316072,Bufo bufo,"Bufo vulgaris Laurenti, 1768","Laurenti, 1768",vulgaris
,,,88316072,Bufo bufo,"Rana ventricosa Linnaeus, 1758","Linnaeus, 1758",ventricosa
,,,88316072,Bufo bufo,"Rana rubeta Linnaeus, 1758","Linnaeus, 1758",rubeta
,,,88316072,Bufo bufo,"Bufo cinereus Schneider, 1799","Schneider, 1799",cinereus
,,,110466172,Xenopus laevis,"Pipa laevis (Daudin, 1802)","(Daudin, 1802)",laevis
,,,110466172,Xenopus laevis,"Pipa bufonia Merrem, 1820","Merrem, 1820",bufonia
,,,110466172,Xenopus laevis,"Engystoma laevis (Daudin, 1802)","(Daudin, 1802)",laevis
,,,110466172,Xenopus laevis,"Xenopus boiei Wagler, 1827","Wagler, 1827",boiei
,,,110466172,Xenopus laevis,"Dactylethera boiei (Wagler, 1827)","(Wagler, 1827)",boiei
,,,110466172,Xenopus laevis,"Dactylethra bufonia (Merrem, 1820)","(Merrem, 1820)",bufonia
,,,110466172,Xenopus laevis,"Dactylethra capensis Cuvier, 1830","Cuvier, 1830",capensis
,,,110466172,Xenopus laevis,"Dactylethra delalandii Cuvier, 1849","Cuvier, 1849",delalandii
,,,110466172,Xenopus laevis,"Dactylethra laevis (Daudin, 1802)","(Daudin, 1802)",laevis
,,,110466172,Xenopus laevis,"Leptopus boiei (Wagler, 1827)","(Wagler, 1827)",boiei
,,,110466172,Xenopus laevis,"Leptopus oxydactylus Mayer, 1835","Mayer, 1835",oxydactylus
,,,110466172,Xenopus laevis,"Tremeropugus typicus Smith, 1831","Smith, 1831",typicus
,,,110466172,Xenopus laevis,"Bufo laevis Daudin, 1802","Daudin, 1802",laevis
,,,136687833,Salamandrella keyserlingii,"Hynobius cristatus (Andersson, 1917)","(Andersson, 1917)",cristatus
,,,136687833,Salamandrella keyserlingii,"Hynobius doii Abé, 1922","Abé, 1922",doii
,,,136687833,Salamandrella keyserlingii,"Hynobius keyserlingii (Dybowski, 1870)","(Dybowski, 1870)",keyserlingii
,,,136687833,Salamandrella keyserlingii,"Hynobius michnoi Nikolskii, 1925","Nikolskii, 1925",michnoi
,,,136687833,Salamandrella keyserlingii,"Isodactylium wosnessenskyi Strauch, 1870","Strauch, 1870",wosnessenskyi
,,,136687833,Salamandrella keyserlingii,"Salamandrella cristata Andersson, 1917","Andersson, 1917",cristata
,,,136687833,Salamandrella keyserlingii,"Salamandrella skvorzovii Pavlov, 1934","Pavlov, 1934",skvorzovii
,,,136687833,Salamandrella keyserlingii,"Salamandrella wosnessenskyi (Strauch, 1870)","(Strauch, 1870)",wosnessenskyi
,,,136687833,Salamandrella keyserlingii,"Salamandrella keyserlingii forma typica, kultukiensis Dybowski, 1928","Dybowski, 1928","keyserlingii forma typica, kultukiensis"
,,,136687833,Salamandrella keyserlingii,"Salamandrella keyserlingii stvorzovi Pavlov, 1932","Pavlov, 1932",keyserlingii stvorzovi
,,,136687833,Salamandrella keyserlingii,"Salamandrella keyserlingii var Sodei-Campi Kostin, 1934","Kostin, 1934",keyserlingii var Sodei-Campi
,,,136687833,Salamandrella keyserlingii,"Salamandrella keyserlingii var. Kostini Pavlov, 1934","Pavlov, 1934",keyserlingii var. Kostini
,,,136687833,Salamandrella keyserlingii,"Salamandrella keyserlingiii var. austeri Pavlov, 1934","Pavlov, 1934",keyserlingiii var. austeri
,,,136687833,Salamandrella keyserlingii,"Salamandrella keyserlingii var. dilutiores Pavlov, 1934","Pavlov, 1934",keyserlingii var. dilutiores
,,,172313717,Pelobates syriacus,"Pelobates transcaucasicus Delwig, 1928","Delwig, 1928",transcaucasicus
subspecies,"Mertens, 1923",boettgeri,172313717,Pelobates syriacus,"Pelobates syriacus ssp. boettgeri Mertens, 1923",,syriacus
subspecies,"Boettgeri, 1989",syriacus,172313717,Pelobates syriacus,"Pelobates syriacus ssp. syriacus Boettgeri, 1989",,syriacus
,,,173101508,Rana temporaria,"Rana platyrrhinus  Steenstrup, 1846","Steenstrup, 1846",platyrrhinus 
,,,173101508,Rana temporaria,"Rana muta Laurenti, 1768","Laurenti, 1768",muta
,,,173101508,Rana temporaria,"Rana alpina Laurenti, 1768","Laurenti, 1768",alpina
,,,173109790,Hyla meridionalis,"Hyla  africana  Ahl, 1924","Ahl, 1924",africana 
,,,173109790,Hyla meridionalis,"Hyla  barytonus  Herón-Royer, 1884","Herón-Royer, 1884",barytonus 
,,,173109790,Hyla meridionalis,"Hyla  perezii  Boscá, 1880","Boscá, 1880",perezii 
,,,173109790,Hyla meridionalis,"Hyla  arborea meridionalis   Boettger, 1874"," Boettger, 1874",arborea meridionalis 
,,,182525327,Bufotes boulengeri,"Bufo boulengeri Lataste, 1879","Lataste, 1879",boulengeri
,,,182525327,Bufotes boulengeri,"Pseudepidalea boulengeri (Lataste, 1879)","(Lataste, 1879)",boulengeri
,,,182525327,Bufotes boulengeri,"Bufotes siculus (Stöck, Sicilia, Belfiore, Buckley, Lo Brutto, Lo Valvo &amp; Arculeo, 2008)","(Stöck, Sicilia, Belfiore, Buckley, Lo Brutto, Lo Valvo &amp; Arculeo, 2008)",siculus
,,,182530066,Bufotes viridis,"Pseudepidalea viridis (Laurenti, 1768)","(Laurenti, 1768)",viridis
,,,182530066,Bufotes viridis,"Rana picta Pallas, 1831","Pallas, 1831",picta
,,,182530066,Bufotes viridis,"Rana variabilis Pallas, 1769","Pallas, 1769",variabilis
,,,182530066,Bufotes viridis,"Bufo variabilis (Pallas, 1769)","(Pallas, 1769)",variabilis
,,,182530066,Bufotes viridis,"Rana buffina Müller, 1776","Müller, 1776",buffina
,,,182530066,Bufotes viridis,"Bufo roseus Merrem, 1820","Merrem, 1820",roseus
,,,182530066,Bufotes viridis,"Bufo schreberianus Laurenti, 1768","Laurenti, 1768",schreberianus
,,,182530066,Bufotes viridis,"Bufo longipes Bonaparte, 1840","Bonaparte, 1840",longipes
,,,182530066,Bufotes viridis,"Bufo viridis Laurenti, 1768","Laurenti, 1768",viridis
,,,182530066,Bufotes viridis,"Bufotes variabilis (Pallas, 1769)","(Pallas, 1769)",variabilis
,,,196236041,Pelobates vespertinus,"Rana vespertina Pallas, 1771","Pallas, 1771",vespertina
subspecies,"(Strauch, 1870)",karelini,211146190,Triturus karelinii,"Triturus cristatus ssp. karelini (Strauch, 1870)",,cristatus
,,,211146190,Triturus karelinii,"Triton karelinii Strauch, 1870","Strauch, 1870",karelinii
,,,211146190,Triturus karelinii,"Triton  longipes  Strauch, 1870","Strauch, 1870",longipes 
subspecies,"Raxworthy, 1988",schmidtleri,211757868,Lissotriton schmidtleri,"Triturus vulgaris ssp. schmidtleri Raxworthy, 1988",,vulgaris
