taxon,species_name,red_list_category,threats,threats_code,population_trend,habitats,risk_score,temp_sensitivity,habitat_loss_sens,co2_sens
REPTILIA,Malacochersus tornieri,CR,"['Agriculture & aquaculture', 'Residential & commercial development', 'Agriculture & aquaculture', 'Agriculture & aquaculture', 'Biological resource use', 'Residential & commercial development', 'Natural system modifications']","['2_1_2', '1_1', '2_3_2', '2_3_1', '5_1_1', '11_2', '7_1_1']",Decreasing,"['Rocky areas (eg. inland cliffs, mountain peaks)', 'Shrubland - Subtropical/Tropical Dry', 'Grassland - Subtropical/Tropical Dry', 'Savanna - Dry']",4.0,0.5,1,0.3
REPTILIA,Manouria emys,CR,"['Agriculture & aquaculture', 'Biological resource use', 'Agriculture & aquaculture', 'Residential & commercial development', 'Agriculture & aquaculture', 'Transportation & service corridors', 'Agriculture & aquaculture', 'Biological resource use', 'Biological resource use', 'Human intrusions & disturbance', 'Biological resource use', 'Residential & commercial development']","['2_2_3', '5_1_1', '2_2_2', '11_2', '2_1_2', '4_1', '2_3_4', '5_1_2', '5_3_3', '6_1', '5_2_2', '11_1']",Decreasing,"['Forest - Subtropical/Tropical Moist Lowland', 'Forest - Subtropical/Tropical Moist Montane']",4.0,0,1,0.6
REPTILIA,Manouria impressa,EN,"['Biological resource use', 'Agriculture & aquaculture', 'Biological resource use', 'Natural system modifications']","['5_1_1', '2_1_4', '5_2_2', '7_1_1']",Decreasing,"['Forest - Subtropical/Tropical Moist Montane', 'Forest - Subtropical/Tropical Dry', 'Forest - Subtropical/Tropical Moist Lowland']",3.0,0.5,0.5,0.2
REPTILIA,Mauremys annamensis,CR,"['Biological resource use', 'Biological resource use', 'Agriculture & aquaculture', 'Agriculture & aquaculture']","['5_4_1', '5_4_2', '2_1_3', '2_1_2']",Decreasing,"['Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha)', 'Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands', 'Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha)', 'Wetlands (inland) - Shrub Dominated Wetlands', 'Artificial/Aquatic - Canals and Drainage Channels, Ditches', 'Artificial/Aquatic - Seasonally Flooded Agricultural Land', 'Artificial/Aquatic - Irrigated Land (includes irrigation channels)', 'Artificial/Aquatic - Ponds (below 8ha)']",4.0,0,0.5,0.2
REPTILIA,Melanochelys tricarinata,EN,"['Natural system modifications', 'Natural system modifications', 'Biological resource use', 'Agriculture & aquaculture']","['7_2_11', '7_1_3', '5_1_1', '2_1_1']",Decreasing,"['Forest - Subtropical/Tropical Moist Lowland', 'Savanna - Moist', 'Grassland - Subtropical/Tropical Dry', 'Grassland - Subtropical/Tropical Seasonally Wet/Flooded', 'Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)']",3.0,0.5,0.5,0.2
REPTILIA,Melanochelys trijuga,LC,"['Agriculture & aquaculture', 'Agriculture & aquaculture', 'Biological resource use', 'Biological resource use', 'Transportation & service corridors', 'Residential & commercial development', 'Pollution', 'Invasive and other problematic species, genes & diseases', 'Natural system modifications', 'Natural system modifications', 'Agriculture & aquaculture', 'Residential & commercial development', 'Residential & commercial development', 'Agriculture & aquaculture', 'Agriculture & aquaculture', 'Residential & commercial development', 'Residential & commercial development', 'Pollution', 'Natural system modifications']","['2_1_3', '2_2_2', '5_4_1', '5_4_3', '4_1', '1_1', '9_1_1', '8_2_1', '7_2_10', '7_2_9', '2_1_1', '1_3', '1_2', '2_4_2', '2_3_1', '11_2', '11_1', '9_3_3', '7_2_2']",Decreasing,"['Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha)', 'Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha)', 'Wetlands (inland) - Seasonal/Intermittent Freshwater Lakes (over 8ha)', 'Wetlands (inland) - Permanent Freshwater Lakes (over 8ha)', 'Artificial/Aquatic - Irrigated Land (includes irrigation channels)', 'Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands', 'Artificial/Aquatic - Canals and Drainage Channels, Ditches', 'Artificial/Aquatic - Seasonally Flooded Agricultural Land', 'Artificial/Aquatic - Water Storage Areas (over 8ha)', 'Artificial/Aquatic - Ponds (below 8ha)']",0.0,0.5,1,0.8
REPTILIA,Melanosuchus niger,LC,"['Residential & commercial development', 'Residential & commercial development', 'Agriculture & aquaculture', 'Agriculture & aquaculture', 'Agriculture & aquaculture', 'Biological resource use', 'Biological resource use', 'Energy production & mining', 'Transportation & service corridors', 'Biological resource use', 'Biological resource use', 'Biological resource use', 'Biological resource use', 'Human intrusions & disturbance', 'Natural system modifications', 'Natural system modifications', 'Natural system modifications', 'Natural system modifications', 'Natural system modifications', 'Natural system modifications', 'Pollution', 'Pollution', 'Pollution', 'Residential & commercial development', 'Pollution', 'Pollution', 'Residential & commercial development', 'Residential & commercial development', 'Residential & commercial development']","['1_1', '1_2', '2_3_4', '2_3_1', '2_3_2', '5_4_1', '5_4_2', '3_1', '4_1', '5_4_3', '5_4_4', '5_4_5', '5_4_6', '6_1', '7_2_2', '7_2_4', '7_2_9', '7_2_10', '7_2_11', '7_3', '9_1_1', '9_1_2', '9_2_1', '11_2', '9_3_4', '9_4', '11_1', '11_4', '11_3']",Increasing,"['Forest - Subtropical/Tropical Mangrove Vegetation Above High Tide Level', 'Grassland - Subtropical/Tropical Seasonally Wet/Flooded', 'Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)', 'Wetlands (inland) - Seasonal/Intermittent/Irregular Rivers/Streams/Creeks', 'Forest - Subtropical/Tropical Swamp', 'Artificial/Aquatic - Water Storage Areas (over 8ha)', 'Artificial/Aquatic - Canals and Drainage Channels, Ditches', 'Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands', 'Wetlands (inland) - Seasonal/Intermittent Freshwater Lakes (over 8ha)', 'Wetlands (inland) - Permanent Inland Deltas']",0.0,0.5,1,1
REPTILIA,Morenia ocellata,EN,"['Biological resource use', 'Agriculture & aquaculture', 'Agriculture & aquaculture', 'Agriculture & aquaculture', 'Pollution', 'Pollution', 'Pollution', 'Invasive and other problematic species, genes & diseases', 'Residential & commercial development', 'Residential & commercial development', 'Residential & commercial development']","['5_4_1', '2_4_1', '2_3_3', '2_1_1', '9_2_2', '9_3_2', '9_3_3', '8_1_1', '11_1', '11_4', '11_3']",Decreasing,"['Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)', 'Artificial/Aquatic - Seasonally Flooded Agricultural Land', 'Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands', 'Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha)', 'Forest - Subtropical/Tropical Mangrove Vegetation Above High Tide Level', 'Marine Intertidal - Mangrove Submerged Roots']",3.0,0.3,1,0.8
REPTILIA,Morenia petersi,EN,"['Natural system modifications', 'Pollution', 'Pollution', 'Biological resource use', 'Pollution', 'Agriculture & aquaculture']","['7_2_11', '9_3_3', '9_3_1', '5_4_1', '9_1_1', '2_1_4']",Decreasing,"['Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha)', 'Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha)', 'Wetlands (inland) - Seasonal/Intermittent Freshwater Lakes (over 8ha)', 'Wetlands (inland) - Permanent Freshwater Lakes (over 8ha)', 'Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands', 'Artificial/Aquatic - Irrigated Land (includes irrigation channels)', 'Artificial/Aquatic - Canals and Drainage Channels, Ditches', 'Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)', 'Artificial/Aquatic - Seasonally Flooded Agricultural Land', 'Artificial/Aquatic - Water Storage Areas (over 8ha)', 'Artificial/Aquatic - Ponds (below 8ha)']",3.0,0.5,0.5,0.8
REPTILIA,Natrix natrix,LC,"['Energy production & mining', 'Biological resource use', 'Pollution', 'Pollution', 'Pollution']","['3_2', '5_1_3', '9_3_4', '9_1_3', '9_2_3']",Stable,"['Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands', 'Wetlands (inland) - Seasonal/Intermittent/Irregular Rivers/Streams/Creeks', 'Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)', 'Artificial/Aquatic - Excavations (open)', 'Artificial/Aquatic - Irrigated Land (includes irrigation channels)', 'Artificial/Aquatic - Canals and Drainage Channels, Ditches', 'Shrubland - Temperate', 'Artificial/Terrestrial - Rural Gardens', 'Grassland - Temperate', 'Artificial/Terrestrial - Urban Areas', 'Artificial/Aquatic - Water Storage Areas (over 8ha)', 'Artificial/Aquatic - Ponds (below 8ha)', 'Wetlands (inland) - Permanent Freshwater Lakes (over 8ha)', 'Wetlands (inland) - Seasonal/Intermittent Freshwater Lakes (over 8ha)', 'Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha)', 'Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha)', 'Forest - Boreal', 'Wetlands (inland) - Freshwater Springs and Oases', 'Forest - Temperate', 'Artificial/Terrestrial - Arable Land', 'Artificial/Terrestrial - Pastureland', 'Shrubland - Mediterranean-type Shrubby Vegetation', 'Artificial/Terrestrial - Plantations', 'Wetlands (inland) - Shrub Dominated Wetlands']",0.0,0.3,0.5,1
REPTILIA,Nilssonia formosa,CR,"['Biological resource use', 'Residential & commercial development', 'Biological resource use', 'Energy production & mining', 'Agriculture & aquaculture', 'Agriculture & aquaculture', 'Transportation & service corridors', 'Natural system modifications', 'Natural system modifications', 'Residential & commercial development', 'Residential & commercial development', 'Pollution', 'Pollution', 'Pollution']","['5_4_1', '1_1', '5_4_3', '3_2', '2_2_1', '2_3_2', '4_3', '7_2_2', '7_2_10', '11_4', '11_1', '9_2_2', '9_3_2', '9_3_3']",Decreasing,['Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)'],4.0,0.5,1,1
REPTILIA,Notochelys platynota,VU,"['Biological resource use', 'Agriculture & aquaculture', 'Transportation & service corridors', 'Agriculture & aquaculture', 'Residential & commercial development', 'Residential & commercial development', 'Biological resource use']","['5_4_1', '2_1_2', '4_1', '2_2_2', '1_1', '11_2', '5_1_1']",Decreasing,"['Forest - Subtropical/Tropical Moist Lowland', 'Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)', 'Artificial/Aquatic - Irrigated Land (includes irrigation channels)', 'Artificial/Terrestrial - Plantations', 'Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands']",2.0,0,1,0.6
REPTILIA,Mauremys sinensis,CR,"['Agriculture & aquaculture', 'Biological resource use', 'Residential & commercial development', 'Residential & commercial development', 'Agriculture & aquaculture', 'Agriculture & aquaculture', 'Agriculture & aquaculture', 'Agriculture & aquaculture', 'Biological resource use', 'Agriculture & aquaculture', 'Natural system modifications', 'Invasive and other problematic species, genes & diseases', 'Pollution', 'Pollution', 'Natural system modifications', 'Pollution', 'Pollution']","['2_1_4', '5_4_1', '1_1', '1_2', '2_1_2', '2_1_3', '2_2_1', '2_3_2', '5_4_3', '2_3_3', '7_1_1', '8_3', '9_1_2', '9_1_1', '7_2_9', '9_3_1', '9_3_3']",Decreasing,"['Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha)', 'Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)', 'Artificial/Aquatic - Seasonally Flooded Agricultural Land', 'Artificial/Aquatic - Irrigated Land (includes irrigation channels)', 'Forest - Subtropical/Tropical Moist Lowland']",4.0,0.5,1,0.8
REPTILIA,Ogmodon vitianus,EN,"['Biological resource use', 'Agriculture & aquaculture', 'Invasive and other problematic species, genes & diseases', 'Invasive and other problematic species, genes & diseases']","['5_3_3', '2_1_2', '8_1_2', '8_1_2']",Decreasing,"['Artificial/Terrestrial - Rural Gardens', 'Forest - Subtropical/Tropical Moist Lowland']",3.0,0,0.5,0.2
REPTILIA,Oligodon nikhili,DD,[],[],Unknown,"['Grassland - Subtropical/Tropical High Altitude', 'Forest - Subtropical/Tropical Moist Montane']",,[],[],[]
REPTILIA,Opisthotropis spenceri,DD,[],[],Unknown,['Unknown'],,[],[],[]
REPTILIA,Orlitia borneensis,CR,"['Biological resource use', 'Invasive and other problematic species, genes & diseases', 'Pollution', 'Pollution', 'Pollution', 'Pollution', 'Pollution', 'Residential & commercial development', 'Agriculture & aquaculture']","['5_4_1', '8_1_1', '9_2_2', '9_3_2', '9_3_3', '9_4', '9_1_1', '11_1', '2_1_2']",Decreasing,"['Wetlands (inland) - Permanent Freshwater Lakes (over 8ha)', 'Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands', 'Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)', 'Forest - Subtropical/Tropical Moist Lowland', 'Forest - Subtropical/Tropical Swamp']",4.0,0.3,1,0.8
REPTILIA,Anomochilus leonardi,LC,[],[],Unknown,['Forest - Subtropical/Tropical Moist Lowland'],0.0,[],[],[]
REPTILIA,Eryx jaculus,LC,"['Residential & commercial development', 'Natural system modifications', 'Pollution', 'Biological resource use', 'Energy production & mining', 'Agriculture & aquaculture', 'Agriculture & aquaculture', 'Transportation & service corridors', 'Residential & commercial development', 'Biological resource use']","['1_2', '7_1_3', '9_3_4', '5_1_3', '3_2', '2_3_1', '2_1_3', '4_1', '1_1', '5_1_1']",Decreasing,"['Shrubland - Subtropical/Tropical Dry', 'Shrubland - Temperate', 'Artificial/Terrestrial - Plantations', 'Artificial/Terrestrial - Pastureland', 'Shrubland - Mediterranean-type Shrubby Vegetation', 'Artificial/Terrestrial - Arable Land', 'Artificial/Terrestrial - Rural Gardens', 'Grassland - Temperate', 'Desert - Hot', 'Grassland - Subtropical/Tropical Dry']",0.0,0.5,1,1
REPTILIA,Chamaeleo chamaeleon,LC,"['Agriculture & aquaculture', 'Transportation & service corridors', 'Residential & commercial development', 'Natural system modifications', 'Invasive and other problematic species, genes & diseases', 'Residential & commercial development']","['2_1_3', '4_1', '1_3', '7_1_3', '8_1_1', '1_1']",Stable,"['Shrubland - Subtropical/Tropical Dry', 'Artificial/Terrestrial - Plantations', 'Shrubland - Mediterranean-type Shrubby Vegetation', 'Artificial/Terrestrial - Rural Gardens', 'Forest - Temperate']",0.0,0.5,1,0.6
REPTILIA,Laudakia stellio,LC,[],[],Stable,"['Shrubland - Subtropical/Tropical Dry', 'Artificial/Terrestrial - Plantations', 'Artificial/Terrestrial - Pastureland', 'Shrubland - Mediterranean-type Shrubby Vegetation', 'Artificial/Terrestrial - Arable Land', 'Rocky areas (eg. inland cliffs, mountain peaks)', 'Artificial/Terrestrial - Rural Gardens', 'Grassland - Subtropical/Tropical Dry']",0.0,[],[],[]
REPTILIA,Vipera berus,LC,"['Agriculture & aquaculture', 'Agriculture & aquaculture', 'Agriculture & aquaculture', 'Biological resource use', 'Biological resource use', 'Natural system modifications', 'Residential & commercial development']","['2_1_3', '2_2_2', '2_2_1', '5_1_1', '5_1_3', '7_3', '1_1']",Decreasing,"['Shrubland - Temperate', 'Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands', 'Artificial/Terrestrial - Pastureland', 'Forest - Temperate', 'Rocky areas (eg. inland cliffs, mountain peaks)', 'Grassland - Temperate']",0.0,0.5,1,0.3
REPTILIA,Anguis fragilis,LC,"['Agriculture & aquaculture', 'Transportation & service corridors', 'Agriculture & aquaculture', 'Natural system modifications', 'Invasive and other problematic species, genes & diseases', 'Residential & commercial development']","['2_1_3', '4_1', '2_2_2', '7_1_3', '8_1_1', '1_1']",Stable,"['Shrubland - Temperate', 'Artificial/Terrestrial - Pastureland', 'Artificial/Terrestrial - Rural Gardens', 'Forest - Temperate', 'Grassland - Temperate']",0.0,0.5,1,0.6
REPTILIA,Phrynocephalus mystaceus,LC,"['Agriculture & aquaculture', 'Energy production & mining', 'Residential & commercial development', 'Residential & commercial development', 'Biological resource use']","['2_1_3', '3_2', '1_1', '1_3', '5_1_1']",Unknown,"['Desert - Temperate', 'Desert - Cold']",0.0,0,1,1
REPTILIA,Malpolon insignitus,LC,"['Agriculture & aquaculture', 'Biological resource use', 'Residential & commercial development', 'Transportation & service corridors', 'Biological resource use', 'Energy production & mining']","['2_1_3', '5_3_5', '1_1', '4_1', '5_1_1', '3_2']",Stable,"['Shrubland - Subtropical/Tropical Dry', 'Shrubland - Temperate', 'Artificial/Terrestrial - Plantations', 'Artificial/Terrestrial - Pastureland', 'Shrubland - Mediterranean-type Shrubby Vegetation', 'Forest - Temperate', 'Artificial/Terrestrial - Rural Gardens', 'Rocky areas (eg. inland cliffs, mountain peaks)', 'Forest - Subtropical/Tropical Dry', 'Grassland - Temperate', 'Desert - Hot', 'Grassland - Subtropical/Tropical Dry']",0.0,0,1,1
REPTILIA,Natrix tessellata,LC,"['Transportation & service corridors', 'Biological resource use', 'Biological resource use', 'Residential & commercial development', 'Pollution', 'Pollution', 'Invasive and other problematic species, genes & diseases', 'Residential & commercial development']","['4_1', '5_1_1', '5_1_3', '1_2', '9_3_4', '9_2_3', '8_1_1', '1_1']",Decreasing,"['Artificial/Aquatic - Excavations (open)', 'Artificial/Terrestrial - Plantations', 'Artificial/Aquatic - Irrigated Land (includes irrigation channels)', 'Artificial/Aquatic - Canals and Drainage Channels, Ditches', 'Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha)', 'Artificial/Aquatic - Aquaculture Ponds', 'Artificial/Aquatic - Ponds (below 8ha)', 'Artificial/Aquatic - Water Storage Areas (over 8ha)', 'Artificial/Terrestrial - Urban Areas', 'Grassland - Temperate', 'Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)', 'Wetlands (inland) - Seasonal/Intermittent/Irregular Rivers/Streams/Creeks', 'Marine Coastal/Supratidal - Coastal Freshwater Lakes', 'Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands', 'Marine Neritic - Estuaries', 'Wetlands (inland) - Permanent Freshwater Lakes (over 8ha)', 'Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha)', 'Marine Coastal/Supratidal - Coastal Brackish/Saline Lagoons/Marine Lakes']",0.0,0.3,1,0.8
REPTILIA,Eremias arguta,LC,"['Agriculture & aquaculture', 'Agriculture & aquaculture', 'Agriculture & aquaculture', 'Agriculture & aquaculture', 'Residential & commercial development', 'Residential & commercial development', 'Pollution', 'Biological resource use', 'Agriculture & aquaculture', 'Residential & commercial development']","['2_1_3', '2_2_1', '2_3_3', '2_3_2', '1_2', '1_3', '9_3_4', '5_3_5', '2_1_2', '1_1']",Stable,"['Shrubland - Subtropical/Tropical Dry', 'Shrubland - Temperate', 'Artificial/Terrestrial - Plantations', 'Forest - Temperate', 'Artificial/Terrestrial - Rural Gardens', 'Grassland - Temperate', 'Desert - Temperate']",0.0,0.3,1,0.8
REPTILIA,Pseudopus apodus,LC,"['Agriculture & aquaculture', 'Agriculture & aquaculture', 'Biological resource use', 'Biological resource use']","['2_1_3', '2_3_3', '5_1_3', '5_1_1']",Stable,"['Shrubland - Subtropical/Tropical Dry', 'Shrubland - Mediterranean-type Shrubby Vegetation', 'Artificial/Terrestrial - Pastureland', 'Artificial/Terrestrial - Arable Land', 'Forest - Temperate', 'Artificial/Terrestrial - Rural Gardens', 'Grassland - Subtropical/Tropical Dry']",0.0,0,0.5,0.2
REPTILIA,Elaphe sauromates,LC,"['Agriculture & aquaculture', 'Agriculture & aquaculture', 'Residential & commercial development', 'Pollution', 'Biological resource use']","['2_1_3', '2_3_3', '1_1', '9_3_3', '5_1_3']",Unknown,"['Shrubland - Subtropical/Tropical Dry', 'Shrubland - Temperate', 'Artificial/Terrestrial - Plantations', 'Shrubland - Mediterranean-type Shrubby Vegetation', 'Artificial/Terrestrial - Pastureland', 'Artificial/Terrestrial - Rural Gardens', 'Rocky areas (eg. inland cliffs, mountain peaks)', 'Grassland - Temperate', 'Desert - Temperate', 'Desert - Hot']",0.0,0.3,1,0.8
REPTILIA,Dolichophis caspius,LC,"['Transportation & service corridors', 'Biological resource use']","['4_1', '5_1_3']",Unknown,"['Shrubland - Subtropical/Tropical Dry', 'Artificial/Terrestrial - Plantations', 'Artificial/Terrestrial - Pastureland', 'Shrubland - Mediterranean-type Shrubby Vegetation', 'Rocky areas (eg. inland cliffs, mountain peaks)', 'Artificial/Terrestrial - Rural Gardens', 'Forest - Temperate', 'Grassland - Temperate']",0.0,0,0.5,0.6
REPTILIA,Vipera renardi,NT,"['Agriculture & aquaculture', 'Residential & commercial development', 'Agriculture & aquaculture', 'Agriculture & aquaculture', 'Agriculture & aquaculture']","['2_1_3', '11_1', '2_3_3', '2_3_2', '2_1_2']",Decreasing,"['Shrubland - Temperate', 'Grassland - Subtropical/Tropical High Altitude', 'Artificial/Terrestrial - Pastureland', 'Rocky areas (eg. inland cliffs, mountain peaks)', 'Grassland - Temperate']",1.0,0,1,0.3
REPTILIA,Eryx miliaris,LC,"['Agriculture & aquaculture', 'Agriculture & aquaculture', 'Energy production & mining', 'Agriculture & aquaculture', 'Residential & commercial development', 'Pollution', 'Pollution', 'Residential & commercial development']","['2_1_3', '2_3_1', '3_2', '2_3_3', '1_2', '9_3_4', '9_2_3', '1_1']",Decreasing,"['Shrubland - Subtropical/Tropical Dry', 'Artificial/Terrestrial - Plantations', 'Artificial/Terrestrial - Rural Gardens', 'Desert - Temperate', 'Desert - Hot']",0.0,0.3,1,1
